imdb_title_id,original_title,year,date_published,genre,duration,country,language,imdb_score,budget,worldwide_gross_income
tt0023293,The Old Dark House,1932,1932-10-20,"Comedy, Horror, Thriller",72,USA,English,7.1,,$ 34649
tt0023427,Scarface: The Shame of the Nation,1932,1947-11-15,"Action, Crime, Drama",93,USA,English,7.8,,$ 1308000
tt0023563,Das Testament des Dr. Mabuse,1933,1934-02-23,"Crime, Horror, Mystery",122,"Germany, France","German, French",8.0,,$ 27690
tt0023969,Duck Soup,1933,1933-11-17,"Comedy, Musical, War",69,USA,English,7.8,,$ 103800
tt0024034,42nd Street,1933,1933-09-16,"Comedy, Musical, Romance",89,USA,English,7.4,$ 439000,$ 1600
tt0024184,The Invisible Man,1933,1935-04-29,"Horror, Sci-Fi",71,USA,English,7.7,,$ 27105
tt0024216,King Kong,1933,1933-12-02,"Adventure, Horror, Sci-Fi",100,USA,English,7.9,$ 670000,$ 651
tt0024252,Liebelei,1933,1934-01-25,"Drama, Romance",88,Germany,German,7.5,,$ 852
tt0024844,L'Atalante,1934,1934-09-14,"Comedy, Drama, Romance",89,France,"French, Russian",7.8,,$ 9505
tt0025164,The Gay Divorcee,1934,1934-10-12,"Comedy, Musical, Romance",107,USA,"English, French, Italian",7.5,$ 520000,$ 6750
tt0025493,The Merry Widow,1934,1934-11-02,"Comedy, Musical, Romance",99,USA,"English, French",7.2,,$ 6014620
tt0025746,The Scarlet Empress,1934,1934-11-09,"Drama, History, Romance",104,USA,English,7.6,$ 900000,$ 3299
tt0025907,Treasure Island,1934,1934-08-17,"Adventure, Family",110,USA,English,7.1,,$ 4957320
tt0025919,Twentieth Century,1934,1935-01-24,"Comedy, Romance",91,USA,"English, German",7.4,,$ 9800
tt0026029,The 39 Steps,1935,1936-04-25,"Mystery, Thriller",86,UK,English,7.6,GBP 50000,$ 51711
tt0026138,Bride of Frankenstein,1935,1940-06-13,"Drama, Horror, Sci-Fi",75,USA,English,7.8,$ 397024,$ 10493
