original_title,year,genre,duration,country,language,imdb_score,worldwide_gross_income,tomatometer_rating
The Kid,1921,"Comedy, Drama, Family",68,USA,"English, None",83.0,0.026916000000000002,100.0
A Woman of Paris: A Drama of Fate,1923,"Drama, Romance",82,USA,"None, English",70.0,0.011233,92.0
The Gold Rush,1925,"Adventure, Comedy, Drama",95,USA,"English, None",82.0,0.026916000000000002,100.0
Metropolis,1927,"Drama, Sci-Fi",153,Germany,German,83.0,1.3497109999999999,97.0
Sunrise: A Song of Two Humans,1927,"Drama, Romance",94,USA,English,81.0,0.121107,98.0
Wings,1927,"Drama, Romance, War",144,USA,English,75.0,0.0007459999999999999,93.0
The Circus,1928,"Comedy, Romance",72,USA,English,81.0,0.026916000000000002,96.0
City Lights,1931,"Comedy, Drama, Romance",87,USA,English,85.0,0.046008,98.0
Dracula,1931,"Drama, Fantasy, Horror",75,USA,"English, Hungarian, Latin",75.0,0.085204,92.0
Dr. Jekyll and Mr. Hyde,1931,"Horror, Sci-Fi",98,USA,English,76.0,0.016614999999999998,90.0
Freaks,1932,"Drama, Horror",64,USA,"English, German, French",79.0,0.004072,95.0
The Old Dark House,1932,"Comedy, Horror, Thriller",72,USA,English,71.0,0.034649,96.0
Duck Soup,1933,"Comedy, Musical, War",69,USA,English,78.0,0.1038,92.0
42nd Street,1933,"Comedy, Musical, Romance",89,USA,English,74.0,0.0016,96.0
The Invisible Man,1933,"Horror, Sci-Fi",71,USA,English,77.0,0.027105,94.0
King Kong,1933,"Adventure, Horror, Sci-Fi",100,USA,English,79.0,0.000651,98.0
L'Atalante,1934,"Comedy, Drama, Romance",89,France,"French, Russian",78.0,0.009505,100.0
The Gay Divorcee,1934,"Comedy, Musical, Romance",107,USA,"English, French, Italian",75.0,0.006750000000000001,93.0
Treasure Island,1934,"Adventure, Family",110,USA,English,71.0,4.95732,100.0
Twentieth Century,1934,"Comedy, Romance",91,USA,"English, German",74.0,0.0098,86.0
The 39 Steps,1935,"Mystery, Thriller",86,UK,English,76.0,0.05171099999999999,96.0
A Night at the Opera,1935,"Comedy, Music, Musical",96,USA,"English, Italian",79.0,3.9567,98.0
Roberta,1935,"Comedy, Musical, Romance",106,USA,"English, French, Russian",71.0,0.002493,86.0
Fury,1936,"Crime, Drama, Film-Noir",92,USA,English,79.0,0.011712,100.0
Modern Times,1936,"Comedy, Drama, Family",87,USA,English,85.0,0.457688,100.0
Swing Time,1936,"Comedy, Musical, Romance",103,USA,"English, French",76.0,0.004961,97.0
Pépé le Moko,1937,"Crime, Drama, Romance",94,France,"French, Arabic",77.0,0.155895,100.0
Shall We Dance,1937,"Comedy, Musical, Romance",109,USA,"English, French",75.0,0.0066619999999999995,89.0
Snow White and the Seven Dwarfs,1937,"Animation, Family, Fantasy",83,USA,English,76.0,184.925486,98.0
Bringing Up Baby,1938,"Comedy, Family, Romance",102,USA,English,79.0,0.011179999999999999,93.0
Holiday,1938,"Comedy, Romance",95,USA,English,78.0,0.014485999999999999,100.0
The Lady Vanishes,1938,"Mystery, Thriller",96,UK,"English, German, French, Italian",78.0,0.039776,98.0
Drums Along the Mohawk,1939,"Drama, History, Romance",104,USA,English,71.0,0.01036,82.0
Mr. Smith Goes to Washington,1939,"Comedy, Drama",129,USA,English,81.0,0.144738,96.0
Only Angels Have Wings,1939,"Adventure, Drama, Romance",121,USA,"English, Spanish",77.0,0.008554,100.0
The Wizard of Oz,1939,"Adventure, Family, Fantasy",102,USA,English,80.0,26.142032,98.0
The Women,1939,"Comedy, Drama",133,USA,"English, French",78.0,0.016161000000000002,92.0
Wuthering Heights,1939,"Drama, Romance",104,USA,English,76.0,0.6246430000000001,96.0
The Great Dictator,1940,"Comedy, Drama, War",125,USA,"English, Esperanto",84.0,0.969879,93.0
The Letter,1940,"Crime, Drama, Film-Noir",95,USA,English,76.0,0.016455,100.0
The Mark of Zorro,1940,"Action, Adventure, Romance",94,USA,"English, Spanish",75.0,0.003424,91.0
The Philadelphia Story,1940,"Comedy, Romance",112,USA,"English, French",79.0,0.411442,100.0
Pinocchio,1940,"Animation, Comedy, Family",88,USA,English,74.0,121.89204500000001,100.0
The Shop Around the Corner,1940,"Comedy, Drama, Romance",99,USA,English,81.0,0.036368,100.0
Waterloo Bridge,1940,"Drama, Romance, War",108,USA,"English, French",78.0,0.031111,80.0
Citizen Kane,1941,"Drama, Mystery",119,USA,"English, Italian",83.0,1.594107,100.0
Dumbo,1941,"Animation, Drama, Family",64,USA,English,72.0,0.0037310000000000004,98.0
The Lady Eve,1941,"Comedy, Romance",94,USA,English,78.0,0.01302,100.0
The Maltese Falcon,1941,"Film-Noir, Mystery",100,USA,English,80.0,0.001255,100.0
The Sea Wolf,1941,"Adventure, Drama",100,USA,English,75.0,0.0061920000000000005,100.0
Sergeant York,1941,"Biography, Drama, History",134,USA,"English, French, German",77.0,16.364924,86.0
Sullivan's Travels,1941,"Adventure, Comedy, Drama",90,USA,English,79.0,0.010249,100.0
The Wolf Man,1941,Horror,70,USA,English,73.0,0.00041999999999999996,90.0
Bambi,1942,"Animation, Drama, Family",70,USA,English,73.0,267.44715,90.0
Casablanca,1942,"Drama, Romance, War",102,USA,"English, French, German, Italian",85.0,4.374761,99.0
Jungle Book,1942,"Action, Adventure, Family",108,"USA, UK",English,67.0,3.905444,57.0
Kings Row,1942,"Drama, Mystery, Romance",127,USA,"English, French",75.0,5.093,100.0
Kate & Leopold,2001,"Comedy, Fantasy, Romance",118,USA,"English, French",64.0,76.019048,50.0
Went the Day Well?,1942,"Thriller, War",92,UK,"English, German",75.0,0.047214,93.0
The Life and Death of Colonel Blimp,1943,"Drama, Romance, War",163,UK,"English, French, German",81.0,0.030129,96.0
Double Indemnity,1944,"Crime, Drama, Film-Noir",107,USA,English,83.0,0.013886,97.0
The Best Years of Our Lives,1946,"Drama, Romance, War",170,USA,English,80.0,23.65662,97.0
To Have and Have Not,1944,"Adventure, Comedy, Film-Noir",100,USA,"English, French",78.0,0.012459000000000001,97.0
Brief Encounter,1945,"Drama, Romance",86,UK,"English, French",80.0,0.107384,91.0
Detour,1945,"Crime, Drama, Film-Noir",68,USA,English,74.0,0.016172,100.0
Mildred Pierce,1945,"Crime, Drama, Film-Noir",111,USA,English,80.0,0.010128,86.0
The Big Sleep,1946,"Crime, Film-Noir, Mystery",114,USA,English,79.0,0.022356,97.0
It's a Wonderful Life,1946,"Drama, Family, Fantasy",130,USA,"English, French",86.0,6.13072,94.0
The Killers,1946,"Crime, Drama, Film-Noir",103,USA,English,78.0,0.058221999999999996,100.0
My Darling Clementine,1946,"Biography, Drama, Western",97,USA,"English, Spanish",78.0,0.015293000000000001,100.0
Dark Passage,1947,"Film-Noir, Thriller",106,USA,English,75.0,0.009693,93.0
The Ghost and Mrs. Muir,1947,"Comedy, Drama, Fantasy",104,USA,English,79.0,0.029545,100.0
Monsieur Verdoux,1947,"Comedy, Crime, Drama",124,USA,English,79.0,0.064636,97.0
Odd Man Out,1947,"Crime, Drama, Thriller",116,UK,English,77.0,0.065759,100.0
The Secret Life of Walter Mitty,1947,"Comedy, Fantasy, Romance",110,USA,"English, French, German",70.0,0.9566250000000001,71.0
Key Largo,1948,"Action, Crime, Drama",100,USA,"English, Italian",78.0,9.524420000000001,97.0
The Red Shoes,1948,"Drama, Music, Romance",135,UK,"English, French, Russian",81.0,0.030164999999999997,97.0
Rope,1948,"Crime, Drama, Mystery",80,USA,English,80.0,0.010046,94.0
The Treasure of the Sierra Madre,1948,"Adventure, Drama, Western",126,"USA, Mexico","English, Spanish",82.0,0.21529500000000001,100.0
In the Good Old Summertime,1949,"Comedy, Musical, Romance",102,USA,English,72.0,7.7041200000000005,64.0
Kind Hearts and Coronets,1949,"Comedy, Crime",106,UK,English,80.0,0.145583,100.0
A Letter to Three Wives,1949,"Drama, Romance",103,USA,"English, Spanish",77.0,0.014768,94.0
Little Women,1949,"Drama, Family, Romance",122,USA,"German, English",73.0,12.905600000000002,71.0
The Third Man,1949,"Film-Noir, Mystery, Thriller",104,UK,"English, German, Russian",81.0,1.2254239999999998,99.0
White Heat,1949,"Action, Crime, Drama",114,USA,English,81.0,0.005534,97.0
All About Eve,1950,Drama,138,USA,"English, French",82.0,0.15043800000000002,99.0
The Asphalt Jungle,1950,"Crime, Drama, Film-Noir",112,USA,"English, German",79.0,0.029868,97.0
Born Yesterday,1950,"Comedy, Drama, Romance",103,USA,English,76.0,12.0,97.0
Cinderella,1950,"Animation, Family, Fantasy",74,USA,English,73.0,95.126535,97.0
The Flame and the Arrow,1950,"Adventure, Drama, Romance",88,USA,English,70.0,0.006712999999999999,100.0
In a Lonely Place,1950,"Drama, Film-Noir, Mystery",94,USA,English,80.0,0.021493,98.0
The Men,1950,Drama,85,USA,"English, Spanish",71.0,0.005995,77.0
Treasure Island,1950,"Adventure, Family",96,"UK, USA",English,69.0,4.419657,100.0
The African Queen,1951,"Adventure, Drama, Romance",105,"UK, USA","English, German, Swahili",77.0,0.051357,98.0
An American in Paris,1951,"Drama, Musical, Romance",114,USA,"English, French, German",72.0,0.272619,96.0
Pandora and the Flying Dutchman,1951,"Drama, Fantasy, Mystery",122,UK,"English, Spanish",70.0,0.031805,66.0
A Streetcar Named Desire,1951,Drama,122,USA,"English, Spanish",80.0,0.049523,98.0
The Greatest Show on Earth,1952,"Drama, Family, Romance",152,USA,"English, Russian",66.0,36.0,42.0
The Lavender Hill Mob,1951,"Comedy, Crime",78,UK,"English, French, Portuguese",76.0,0.010945,100.0
Limelight,1952,"Drama, Music, Romance",137,USA,English,81.0,0.0075060000000000005,97.0
Macao,1952,"Adventure, Crime, Drama",81,USA,"English, Cantonese, Japanese",67.0,0.0035299999999999997,44.0
Moulin Rouge,1952,"Biography, Drama, Music",119,UK,"English, French",71.0,0.003188,78.0
Pat and Mike,1952,"Comedy, Romance, Sport",95,USA,English,70.0,0.011884,88.0
Sudden Fear,1952,"Film-Noir, Thriller",110,USA,English,75.0,0.024476,100.0
The Band Wagon,1953,"Comedy, Musical, Romance",112,USA,"English, French, German",75.0,0.014537,100.0
From Here to Eternity,1953,"Drama, Romance, War",118,USA,English,76.0,0.036416,92.0
Gentlemen Prefer Blondes,1953,"Comedy, Musical, Romance",91,USA,"English, French",72.0,0.0006479999999999999,98.0
House of Wax,1953,Horror,88,USA,English,71.0,23.75,95.0
Julius Caesar,1953,"Biography, Drama, History",120,USA,English,73.0,0.010831,95.0
Little Fugitive,1953,"Drama, Family",80,USA,English,75.0,0.162373,93.0
Peter Pan,1953,"Animation, Adventure, Family",77,USA,"English, American Sign Language",73.0,87.404651,81.0
The Robe,1953,"Drama, History",135,USA,English,67.0,36.0,33.0
The Barefoot Contessa,1954,"Crime, Drama, Mystery",128,"Italy, USA","English, Spanish, Italian",70.0,0.017018,100.0
The Caine Mutiny,1954,"Drama, War",124,USA,English,77.0,21.75,92.0
Creature from the Black Lagoon,1954,"Horror, Sci-Fi",79,USA,English,70.0,0.00027499999999999996,79.0
Dial M for Murder,1954,"Crime, Thriller",105,USA,English,82.0,0.018816,89.0
Johnny Guitar,1954,"Drama, Western",110,USA,English,77.0,0.004604,93.0
Rear Window,1954,"Mystery, Thriller",112,USA,English,84.0,37.032033999999996,99.0
River of No Return,1954,"Action, Adventure, Drama",91,USA,English,66.0,0.008757,57.0
A Star Is Born,1954,"Drama, Musical, Romance",154,USA,English,76.0,4.34889,98.0
White Christmas,1954,"Comedy, Musical, Romance",120,USA,English,76.0,1.097995,77.0
All That Heaven Allows,1955,"Drama, Romance",89,USA,English,76.0,0.00016999999999999999,90.0
Le amiche,1955,"Drama, Romance",104,Italy,Italian,72.0,0.068167,100.0
Bad Day at Black Rock,1955,"Crime, Drama, Mystery",81,USA,English,77.0,0.010813,97.0
East of Eden,1955,Drama,118,USA,English,79.0,0.024079,85.0
Lady and the Tramp,1955,"Animation, Adventure, Comedy",76,USA,English,73.0,93.93339399999999,93.0
The Night of the Hunter,1955,"Crime, Drama, Film-Noir",92,USA,English,80.0,0.002001,95.0
Pather Panchali,1955,Drama,125,India,Bengali,86.0,0.13534200000000002,98.0
Rebel Without a Cause,1955,Drama,111,USA,English,77.0,0.199963,94.0
The Seven Year Itch,1955,"Comedy, Romance",105,USA,English,71.0,0.007652000000000001,87.0
Aparajito,1956,Drama,110,India,Bengali,84.0,0.134241,95.0
Around the World in 80 Days,1956,"Adventure, Comedy, Family",167,USA,"English, Spanish, French",68.0,42.0,69.0
Giant,1956,"Drama, Western",201,USA,"English, Spanish",76.0,32.855818,95.0
Invasion of the Body Snatchers,1956,"Drama, Horror, Sci-Fi",80,USA,English,77.0,0.0018610000000000002,98.0
The Man Who Knew Too Much,1956,"Drama, Thriller",120,USA,"English, Arabic, French",75.0,0.00819,87.0
The Ten Commandments,1956,"Adventure, Drama",220,USA,English,78.0,65.5,89.0
An Affair to Remember,1957,"Drama, Musical, Romance",115,USA,"English, French, Italian",75.0,0.0018540000000000002,65.0
The Bridge on the River Kwai,1957,"Adventure, Drama, War",161,"UK, USA","English, Japanese, Thai",81.0,27.2,95.0
The Incredible Shrinking Man,1957,"Horror, Sci-Fi",81,USA,English,76.0,0.00258,92.0
Paths of Glory,1957,"Drama, War",88,USA,"English, German, Latin",84.0,0.005252,95.0
Silk Stockings,1957,"Comedy, Musical, Romance",117,USA,English,68.0,0.009755,100.0
Sweet Smell of Success,1957,"Drama, Film-Noir",96,USA,English,81.0,0.007704,98.0
Witness for the Prosecution,1957,"Crime, Drama, Mystery",116,USA,"English, German",84.0,0.007693,100.0
The Fly,1958,"Drama, Horror, Sci-Fi",94,USA,"English, French",71.0,0.0015010000000000002,95.0
The Left Handed Gun,1958,Western,102,USA,"English, Spanish",65.0,0.005065999999999999,90.0
The Old Man and the Sea,1958,"Adventure, Drama",86,USA,English,70.0,0.06774,78.0
South Pacific,1958,"Musical, Romance, War",157,USA,"English, French",68.0,0.458,82.0
Touch of Evil,1958,"Crime, Drama, Film-Noir",95,USA,"English, Spanish",80.0,2.286947,95.0
Vertigo,1958,"Mystery, Romance, Thriller",128,USA,English,83.0,7.7963890000000005,94.0
Ben-Hur,1959,"Adventure, Drama, History",212,USA,English,81.0,74.427638,86.0
North by Northwest,1959,"Adventure, Mystery, Thriller",136,USA,"English, French",83.0,0.073446,99.0
Pickpocket,1959,"Crime, Drama",76,France,French,77.0,0.007541000000000001,95.0
Sleeping Beauty,1959,"Animation, Family, Fantasy",75,USA,English,72.0,51.6,89.0
Some Like It Hot,1959,"Comedy, Music, Romance",121,USA,English,82.0,83.169282,95.0
"Suddenly, Last Summer",1959,"Drama, Mystery, Thriller",114,"UK, USA",English,76.0,0.009748999999999999,65.0
A Summer Place,1959,"Drama, Romance",130,USA,English,69.0,0.021216,83.0
The Apartment,1960,"Comedy, Drama, Romance",125,USA,English,83.0,0.177066,93.0
The Brides of Dracula,1960,Horror,85,UK,English,67.0,0.337833,75.0
Flaming Star,1960,"Action, Drama, Romance",101,USA,English,65.0,4.36,91.0
Peeping Tom,1960,"Drama, Horror, Thriller",101,UK,English,77.0,0.024640000000000002,96.0
Psycho,1960,"Horror, Mystery, Thriller",109,USA,English,85.0,32.008644,96.0
Spartacus,1960,"Adventure, Biography, Drama",197,USA,English,79.0,1.844789,93.0
Swiss Family Robinson,1960,"Adventure, Family",126,USA,English,72.0,40.356,82.0
The Time Machine,1960,"Adventure, Romance, Sci-Fi",103,USA,English,76.0,0.005902,76.0
Breakfast at Tiffany's,1961,"Comedy, Drama, Romance",115,USA,"English, Portuguese, French, Japanese",76.0,0.35775,88.0
The Parent Trap,1961,"Comedy, Family, Romance",129,USA,English,71.0,29.650385,90.0
A Taste of Honey,1961,Drama,101,UK,English,75.0,0.0045969999999999995,89.0
Victim,1961,Drama,90,UK,English,77.0,0.025962000000000002,100.0
Viridiana,1961,Drama,90,"Spain, Mexico","Spanish, English",82.0,0.0018429999999999998,96.0
West Side Story,1961,"Crime, Drama, Musical",153,USA,"English, Spanish",75.0,44.061777,92.0
Boccaccio '70,1962,"Comedy, Fantasy, Romance",205,"Italy, France","Italian, German",71.0,0.010641000000000001,50.0
Dr. No,1962,"Action, Adventure, Thriller",110,UK,"English, French",72.0,16.068461,95.0
Lawrence of Arabia,1962,"Adventure, Biography, Drama",228,UK,"English, Arabic, Turkish",83.0,45.710874000000004,98.0
Lolita,1962,"Crime, Drama, Romance",153,"UK, USA","English, French, Spanish, German",76.0,0.004631,91.0
The Manchurian Candidate,1962,"Drama, Thriller",126,USA,"English, Spanish",79.0,2.757256,97.0
The Miracle Worker,1962,"Biography, Drama",106,USA,"English, American Sign Language",81.0,0.004139,96.0
Billy Liar,1963,"Comedy, Drama, Romance",98,UK,English,73.0,0.029153000000000002,94.0
The Birds,1963,"Drama, Horror, Mystery",119,USA,English,77.0,0.032655,95.0
Charade,1963,"Comedy, Mystery, Romance",113,USA,"English, French, German, Italian, Spanish",79.0,0.173057,94.0
Cleopatra,1963,"Biography, Drama, History",192,"Switzerland, UK, USA",English,70.0,57.777778,62.0
The Great Escape,1963,"Adventure, Drama, History",172,USA,"English, German, French, Russian, Spanish",82.0,0.22793999999999998,94.0
The Haunting,1963,Horror,112,UK,English,75.0,0.000742,88.0
The Pink Panther,1963,"Comedy, Crime, Romance",115,USA,"English, Italian",71.0,10.878107,89.0
The Sword in the Stone,1963,"Animation, Adventure, Comedy",79,USA,English,72.0,12.0,66.0
This Sporting Life,1963,"Drama, Sport",134,UK,English,77.0,0.000813,95.0
Becket,1964,"Biography, Drama, History",148,"UK, USA","English, Latin, Welsh",78.0,0.14932700000000002,76.0
Cheyenne Autumn,1964,"Drama, History, Western",154,USA,English,68.0,0.01098,57.0
Goldfinger,1964,"Action, Adventure, Thriller",110,UK,"English, Chinese, Spanish",77.0,51.160174,99.0
A Hard Day's Night,1964,"Comedy, Music, Musical",87,UK,"English, German, French",76.0,2.3605609999999997,98.0
"Kiss Me, Stupid",1964,"Comedy, Romance",125,USA,English,70.0,0.008869,73.0
Marnie,1964,"Crime, Drama, Mystery",130,USA,English,72.0,0.007095,83.0
Mary Poppins,1964,"Comedy, Family, Fantasy",139,USA,English,78.0,103.082283,100.0
The Night of the Iguana,1964,Drama,125,USA,"English, Spanish",76.0,0.003941999999999999,71.0
Sex and the Single Girl,1964,"Comedy, Romance",110,USA,English,65.0,0.00649,50.0
A Shot in the Dark,1964,"Comedy, Mystery",102,"UK, USA","English, Spanish",75.0,12.368234,94.0
Darling,1965,"Drama, Romance",128,UK,English,71.0,0.000137,67.0
Doctor Zhivago,1965,"Drama, Romance, War",197,"Italy, USA","English, Russian, French",80.0,111.91856399999999,84.0
Major Dundee,1965,"Adventure, War, Western",123,USA,"English, French, Spanish",67.0,0.020807,97.0
Repulsion,1965,"Drama, Horror, Thriller",105,UK,English,77.0,0.033173999999999995,95.0
The Sound of Music,1965,"Biography, Drama, Family",172,USA,"English, German",80.0,159.41357399999998,83.0
Thunderball,1965,"Action, Adventure, Thriller",130,UK,"English, French",70.0,63.595658,86.0
Django,1966,"Action, Western",91,"Italy, Spain",Italian,72.0,0.025916,92.0
Fahrenheit 451,1966,"Drama, Sci-Fi",112,UK,English,72.0,0.000509,81.0
Persona,1966,"Drama, Thriller",85,Sweden,"Swedish, English",81.0,0.025407000000000002,90.0
Who's Afraid of Virginia Woolf?,1966,Drama,131,USA,"English, Latin, Spanish",80.0,28.005068,95.0
Casino Royale,1967,Comedy,131,"UK, USA","English, French, Scottish Gaelic, German, Japanese",52.0,0.002324,25.0
The Graduate,1967,"Comedy, Drama, Romance",106,USA,English,80.0,105.015008,87.0
Guess Who's Coming to Dinner,1967,"Comedy, Drama",108,USA,English,78.0,56.666667,70.0
In the Heat of the Night,1967,"Crime, Drama, Mystery",110,USA,English,79.0,0.027669,95.0
The Jungle Book,1967,"Animation, Adventure, Family",78,USA,English,76.0,210.31008400000002,88.0
Reflections in a Golden Eye,1967,"Drama, Romance, Thriller",108,USA,English,68.0,0.065232,55.0
Two for the Road,1967,"Comedy, Drama, Romance",111,UK,"English, French, Italian",75.0,0.01738,81.0
You Only Live Twice,1967,"Action, Adventure, Thriller",117,UK,"English, Japanese, Russian",69.0,43.084787,73.0
2001: A Space Odyssey,1968,"Adventure, Sci-Fi",149,"UK, USA","English, Russian",83.0,68.989547,92.0
Blackbeard's Ghost,1968,"Comedy, Family, Fantasy",106,USA,English,69.0,21.54005,82.0
The Boston Strangler,1968,"Crime, Drama, Mystery",116,USA,English,71.0,0.009439,86.0
Bullitt,1968,"Action, Crime, Thriller",114,USA,English,74.0,0.51135,97.0
Chitty Chitty Bang Bang,1968,"Adventure, Family, Fantasy",144,"UK, USA","English, German, French, Latin",69.0,0.000398,67.0
Coogan's Bluff,1968,"Action, Comedy, Crime",93,USA,English,65.0,3.1100000000000003,94.0
Funny Girl,1968,"Biography, Comedy, Drama",151,USA,English,74.0,52.22426299999999,93.0
The Lion in Winter,1968,"Biography, Drama, History",134,"UK, USA",English,79.0,0.018177,90.0
Night of the Living Dead,1968,"Horror, Thriller",96,USA,English,79.0,0.23645200000000002,97.0
The Odd Couple,1968,Comedy,105,USA,English,77.0,44.527234,97.0
The Party,1968,Comedy,99,USA,"English, Italian, Russian, French, Chinese",75.0,0.010631,82.0
Planet of the Apes,1968,"Adventure, Sci-Fi",112,USA,English,80.0,32.599045000000004,87.0
Romeo and Juliet,1968,"Drama, Romance",138,"UK, Italy","English, French",76.0,0.006292000000000001,95.0
The Thomas Crown Affair,1968,"Crime, Drama, Romance",102,USA,English,70.0,0.04305,76.0
Yellow Submarine,1968,"Animation, Adventure, Comedy",90,"UK, USA",English,74.0,1.273261,95.0
The Arrangement,1969,"Drama, Romance",125,USA,English,65.0,0.009536,8.0
Butch Cassidy and the Sundance Kid,1969,"Biography, Crime, Drama",110,USA,"English, Spanish",80.0,102.31063900000001,90.0
Easy Rider,1969,"Adventure, Drama",95,USA,"English, Spanish, Greek, Ancient (to 1453)",73.0,0.12327600000000001,83.0
"Hello, Dolly!",1969,"Adventure, Comedy, Musical",146,USA,English,71.0,0.40088100000000004,43.0
The Italian Job,1969,"Action, Comedy, Crime",99,"UK, USA","English, Italian",73.0,0.11386700000000001,83.0
Kes,1969,"Drama, Family",111,UK,English,79.0,0.019517,100.0
Midnight Cowboy,1969,Drama,113,USA,"English, Italian",78.0,44.801177,88.0
On Her Majesty's Secret Service,1969,"Action, Adventure, Thriller",142,UK,"English, German, French",67.0,22.787885,81.0
Paint Your Wagon,1969,"Comedy, Drama, Musical",164,USA,English,66.0,14.5,27.0
True Grit,1969,"Adventure, Drama, Western",128,USA,English,74.0,0.276418,89.0
Two Mules for Sister Sara,1970,"Adventure, Romance, War",116,"USA, Mexico","English, Spanish, French, Latin",70.0,5.05,69.0
The Wild Bunch,1969,"Action, Adventure, Western",145,USA,"English, Spanish, German",79.0,0.638641,90.0
Z,1969,"Crime, Drama, History",127,"France, Algeria","French, Russian, English",83.0,0.08330499999999999,93.0
Airport,1970,"Action, Drama, Thriller",137,USA,"English, Italian",66.0,100.489151,73.0
Getting Straight,1970,"Comedy, Drama, Romance",124,USA,English,64.0,13.3,25.0
Joe,1970,"Drama, Thriller",107,USA,English,68.0,19.319254,82.0
Kelly's Heroes,1970,"Adventure, Comedy, War",144,USA,"English, French, German",76.0,5.2,78.0
Little Big Man,1970,"Adventure, Comedy, Drama",139,USA,English,76.0,31.559552000000004,96.0
Love Story,1970,"Drama, Romance",100,USA,English,69.0,106.55069,68.0
A Man Called Horse,1970,"Adventure, Drama, Western",114,"USA, Mexico","English, Sioux, French",69.0,44.0,86.0
On a Clear Day You Can See Forever,1970,"Comedy, Drama, Fantasy",129,USA,English,64.0,14.0,100.0
Patton,1970,"Biography, Drama, War",172,USA,"English, German, French, Russian, Arabic, Italian",79.0,61.749765000000004,94.0
The Private Life of Sherlock Holmes,1970,"Adventure, Comedy, Crime",125,"UK, USA","English, Russian, French, German",71.0,0.019773,92.0
Ryan's Daughter,1970,"Drama, Romance",206,UK,English,74.0,0.008358,50.0
THX 1138,1971,"Drama, Sci-Fi, Thriller",86,USA,English,67.0,2.4370000000000003,86.0
Tristana,1970,Drama,99,"Spain, Italy, France",Spanish,75.0,0.014585999999999998,97.0
Bananas,1971,Comedy,82,USA,"English, Spanish, Yiddish, Italian",70.0,0.13620000000000002,82.0
The Beguiled,1971,"Drama, Thriller, War",105,USA,"English, French",72.0,1.1130689999999999,89.0
A Clockwork Orange,1971,"Crime, Drama, Sci-Fi",136,"UK, USA",English,83.0,26.90344,88.0
Diamonds Are Forever,1971,"Action, Adventure, Thriller",120,UK,"English, German",66.0,43.819547,64.0
Dirty Harry,1971,"Action, Crime, Thriller",102,USA,English,77.0,35.976,89.0
Escape from the Planet of the Apes,1971,"Action, Sci-Fi",98,USA,English,63.0,12.348905,77.0
Fiddler on the Roof,1971,"Drama, Family, Musical",181,USA,"English, Hebrew, Russian",80.0,10.40433,83.0
The French Connection,1971,"Action, Crime, Drama",104,USA,"English, French",77.0,51.7,98.0
Johnny Got His Gun,1971,"Drama, War",111,USA,English,79.0,0.002735,67.0
Klute,1971,"Crime, Mystery, Thriller",114,USA,English,71.0,0.034050000000000004,93.0
The Last Picture Show,1971,"Drama, Romance",118,USA,English,80.0,29.146131000000004,100.0
McCabe & Mrs. Miller,1971,"Drama, Western",120,USA,"English, Cantonese",77.0,0.031558,85.0
Multiple Maniacs,1970,"Comedy, Crime, Horror",91,USA,English,67.0,0.038403,100.0
Play Misty for Me,1971,"Drama, Thriller",102,USA,English,70.0,10.6,82.0
El Topo,1970,"Drama, Western",125,Mexico,Spanish,74.0,0.160468,79.0
Across 110th Street,1972,"Action, Crime, Drama",102,USA,"English, Italian",70.0,10.0,81.0
Avanti!,1972,"Comedy, Romance",144,"Italy, USA","English, Italian",72.0,0.022482,81.0
Boxcar Bertha,1972,"Crime, Drama, Romance",88,USA,English,60.0,0.006443,52.0
Deliverance,1972,"Adventure, Drama, Thriller",109,USA,English,77.0,0.004534,89.0
Everything You Always Wanted to Know About Sex * But Were Afraid to Ask,1972,Comedy,88,USA,"English, Italian",68.0,18.090065000000003,88.0
Frenzy,1972,Thriller,116,UK,English,74.0,0.004121,90.0
Ganja & Hess,1973,"Drama, Fantasy, Horror",110,USA,"French, English",63.0,0.021197,86.0
The Getaway,1972,"Action, Crime, Thriller",123,USA,"English, Spanish",74.0,0.009588000000000001,86.0
The Godfather,1972,"Crime, Drama",175,USA,"English, Italian, Latin",92.0,246.120974,98.0
High Plains Drifter,1973,"Drama, Mystery, Western",105,USA,English,75.0,15.70654,92.0
Joe Kidd,1972,Western,88,USA,"English, Spanish",65.0,6.33,88.0
"Play It Again, Sam",1972,"Comedy, Romance",85,USA,"English, Italian",76.0,0.015413,97.0
The Poseidon Adventure,1972,"Action, Adventure, Drama",117,USA,"English, Hebrew",71.0,84.563118,80.0
"What's Up, Doc?",1972,Comedy,94,USA,English,77.0,66.0,90.0
American Graffiti,1973,"Comedy, Drama",110,USA,English,74.0,115.0,96.0
Breezy,1973,"Drama, Romance",106,USA,English,70.0,0.017752999999999998,67.0
Don't Look Now,1973,"Drama, Mystery, Thriller",110,"UK, Italy","English, Italian",72.0,0.10800000000000001,95.0
Enter the Dragon,1973,"Action, Crime, Drama",102,"Hong Kong, USA","English, Cantonese",77.0,0.040821,94.0
The Exorcist,1973,Horror,122,USA,"English, Latin, Greek, French, German, Arabic, Kurdish",80.0,441.306145,83.0
Jesus Christ Superstar,1973,"Drama, History, Musical",106,USA,English,74.0,0.10565899999999999,52.0
Live and Let Die,1973,"Action, Adventure, Thriller",121,UK,"English, Hungarian",68.0,35.377836,66.0
The Long Goodbye,1973,"Comedy, Crime, Drama",112,USA,"English, Spanish",76.0,0.021619,93.0
