original_title,year,genre,duration,country,language,imdb_score,worldwide_gross_income,tomatometer_rating
High Spirits,1988,"Comedy, Fantasy",99,"Ireland, UK, USA",English,58.0,8.578230999999999,27.0
I'm Gonna Git You Sucka,1988,"Action, Comedy, Crime",88,USA,English,66.0,13.030057,64.0
Johnny Be Good,1988,"Comedy, Sport",91,USA,English,46.0,17.550399,0.0
Kansas,1988,"Crime, Drama, Romance",108,USA,English,55.0,2.432536,20.0
Lady in White,1988,"Fantasy, Horror, Mystery",113,USA,"English, Italian, Spanish, German",67.0,1.7051390000000002,69.0
The Lair of the White Worm,1988,"Comedy, Horror",93,UK,English,59.0,1.1893150000000001,67.0
The Last Temptation of Christ,1988,Drama,164,"Canada, USA",English,75.0,8.865702,81.0
License to Drive,1988,Comedy,88,USA,English,64.0,22.433275000000002,17.0
Little Nikita,1988,"Drama, Thriller",98,USA,English,60.0,1.73307,54.0
Maniac Cop,1988,"Action, Crime, Horror",85,USA,English,60.0,0.671382,50.0
Married to the Mob,1988,"Comedy, Crime, Romance",104,USA,English,62.0,21.486757,89.0
Masquerade,1988,"Drama, Romance, Thriller",91,USA,"English, French",60.0,15.855827999999999,50.0
Midnight Crossing,1988,"Mystery, Thriller",104,USA,English,46.0,1.328001,40.0
Midnight Run,1988,"Action, Comedy, Crime",126,USA,English,75.0,81.613606,94.0
The Milagro Beanfield War,1988,"Comedy, Drama, Fantasy",117,USA,"English, Spanish",68.0,13.825793999999998,59.0
Mississippi Burning,1988,"Crime, Drama, History",128,USA,English,78.0,34.603943,84.0
Mr. North,1988,"Comedy, Drama",93,USA,English,59.0,1.2213660000000002,50.0
My Stepmother Is an Alien,1988,"Comedy, Sci-Fi",105,USA,English,54.0,13.854,19.0
Mystic Pizza,1988,"Comedy, Drama, Romance",104,USA,English,63.0,12.793213,75.0
The Naked Gun: From the Files of Police Squad!,1988,"Comedy, Crime",85,USA,English,76.0,78.75617700000001,88.0
A New Life,1988,Comedy,104,USA,English,58.0,7.721852,29.0
A Nightmare on Elm Street 4: The Dream Master,1988,Horror,93,USA,English,57.0,49.369899,53.0
Oliver & Company,1988,"Animation, Adventure, Comedy",74,USA,English,67.0,74.151346,50.0
Permanent Record,1988,"Drama, Music, Romance",91,USA,English,64.0,1.8931390000000001,50.0
Phantasm II,1988,"Action, Fantasy, Horror",97,USA,English,65.0,7.282850999999999,38.0
The Presidio,1988,"Action, Crime, Mystery",97,USA,English,60.0,20.324096,53.0
The Prince of Pennsylvania,1988,"Comedy, Drama",87,USA,English,58.0,0.005415,14.0
Pulse,1988,"Horror, Sci-Fi",95,USA,English,55.0,0.040397,62.0
Pumpkinhead,1988,"Fantasy, Horror",86,USA,English,62.0,4.385516,65.0
Punchline,1988,"Comedy, Drama, Romance",128,USA,"English, Spanish, French",59.0,21.042667,56.0
Rain Man,1988,Drama,133,USA,"English, Italian",80.0,354.825435,89.0
Rambo III,1988,"Action, Adventure",102,USA,"English, Russian",58.0,189.01561099999998,39.0
Red Heat,1988,"Action, Comedy, Crime",104,USA,"English, Russian, Spanish",61.0,34.994648,67.0
Running on Empty,1988,"Crime, Drama, Music",116,USA,English,77.0,2.847941,85.0
School Daze,1988,"Comedy, Drama, Musical",121,USA,English,60.0,14.545843999999999,56.0
Scrooged,1988,"Comedy, Drama, Fantasy",101,USA,English,70.0,60.328558,71.0
The Seventh Sign,1988,"Drama, Fantasy, Horror",97,USA,"English, Hebrew",59.0,18.875011,15.0
Shakedown,1988,"Action, Crime, Drama",112,USA,English,60.0,10.068039,63.0
She's Having a Baby,1988,"Comedy, Drama, Romance",106,USA,English,59.0,16.031707,40.0
Short Circuit 2,1988,"Comedy, Drama, Family",110,USA,English,58.0,21.630088,38.0
Stealing Home,1988,"Drama, Romance, Sport",98,USA,English,67.0,7.467504,20.0
Stormy Monday,1988,"Crime, Drama, Music",93,"UK, USA","English, Polish",62.0,1.791328,75.0
Sunset,1988,"Crime, Mystery, Thriller",102,"USA, Italy","English, Spanish",57.0,4.5944519999999995,23.0
Sweet Hearts Dance,1988,"Comedy, Drama, Romance",101,USA,English,57.0,3.790493,50.0
Talk Radio,1988,Drama,110,"USA, Canada",English,73.0,3.4685720000000004,82.0
Tapeheads,1988,"Comedy, Music",93,USA,"English, Spanish, French",57.0,0.34378600000000004,60.0
Tequila Sunrise,1988,"Crime, Drama, Romance",115,USA,"English, Spanish",61.0,41.292550999999996,52.0
They Live,1988,"Action, Horror, Sci-Fi",94,USA,English,73.0,13.008928000000001,86.0
Things Change,1988,"Comedy, Crime, Drama",100,USA,"English, Italian",70.0,3.527886,83.0
Track 29,1988,"Drama, Mystery",91,"UK, USA",English,59.0,0.429028,63.0
Tucker: The Man and His Dream,1988,"Biography, Drama",110,USA,English,69.0,19.652638,83.0
Twins,1988,"Comedy, Crime",107,USA,English,61.0,216.61438800000002,43.0
The Unbearable Lightness of Being,1988,"Drama, Romance",171,"Sweden, USA",English,73.0,10.006806000000001,85.0
Vice Versa,1988,"Comedy, Fantasy",98,USA,English,59.0,13.664060000000001,43.0
Who Framed Roger Rabbit,1988,"Animation, Adventure, Comedy",104,USA,English,77.0,329.803958,97.0
