imdb_title_id,original_title,year,date_published,genre,duration,country,language,imdb_score,budget,worldwide_gross_income
tt0102945,Sleeping with the Enemy,1991,1991-02-08,"Drama, Thriller",99,USA,English,6.3,19000000,1749.99005
tt0102951,Soapdish,1991,1991-05-31,"Comedy, Romance",97,USA,English,6.6,25000000,364.89888
tt0102975,Star Trek VI: The Undiscovered Country,1991,1991-12-06,"Action, Adventure, Sci-Fi",110,USA,"English, Klingon",7.2,30000000,968.88996
tt0102984,Stone Cold,1991,1991-05-17,"Action, Crime, Drama",92,USA,English,6.0,17000000,91.51887
tt0102989,Straight Out of Brooklyn,1991,1991-06-01,"Crime, Drama",91,USA,English,5.8,450000,27.12293
tt0103007,The Super,1991,1991-10-04,Comedy,84,"USA, Japan","English, Spanish",5.7,22000000,110.00863
tt0103016,Switch,1991,1991-05-10,"Comedy, Fantasy",103,USA,English,5.8,14000000,155.45943
tt0103060,Teenage Mutant Ninja Turtles II: The Secret of the Ooze,1991,1991-03-22,"Action, Adventure, Comedy",88,"USA, Hong Kong",English,6.1,25000000,786.56813
tt0103064,Terminator 2: Judgment Day,1991,1991-12-19,"Action, Sci-Fi",137,"USA, France","English, Spanish",8.5,102000000,5208.84847
tt0103074,Thelma & Louise,1991,1991-09-13,"Adventure, Crime, Drama",130,"USA, UK, France",English,7.5,16500000,454.34805
tt0103112,Toy Soldiers,1991,1991-04-26,"Action, Drama, Thriller",111,USA,"English, Spanish, Italian",6.6,10000000,150.73942
tt0103125,True Colors,1991,1991-03-15,Drama,111,USA,English,6.3,20000000,4.18807
tt0103128,True Identity,1991,1991-08-23,Comedy,93,USA,English,5.0,15000000,46.93236
tt0103130,Trust,1990,1991-09-20,"Comedy, Drama",107,"UK, USA",English,7.3,700000,3.574
tt0103241,What About Bob?,1991,1991-05-17,Comedy,99,USA,English,7.0,35000000,637.07829
tt0103247,White Fang,1991,1991,"Adventure, Drama",107,USA,English,6.7,14000000,347.9316
tt0103594,1492: Conquest of Paradise,1992,1992-10-16,"Adventure, Biography, Drama",154,"UK, France, Spain","Spanish, Latin, Arabic, English",6.5,47000000,71.91399
tt0103596,3 Ninjas,1992,1992-08-07,"Action, Comedy, Family",84,USA,English,5.3,6500000,290.00301
tt0103639,Aladdin,1992,1993-12-03,"Animation, Adventure, Comedy",90,USA,English,8.0,28000000,5040.50219
tt0103644,Alien³,1992,1992-10-02,"Action, Horror, Sci-Fi",114,USA,English,6.5,50000000,1598.14498
tt0103670,American Heart,1992,1993-05-07,"Crime, Drama, Romance",113,USA,English,6.8,10000000,3.84048
tt0103671,American Me,1992,1992-03-13,"Biography, Crime, Drama",125,USA,English,7.2,16000000,130.8643
tt0103759,Bad Lieutenant,1992,1993-05-21,"Crime, Drama, Thriller",96,USA,"English, Spanish",7.1,1000000,20.38916
tt0103772,Basic Instinct,1992,1992-09-18,"Drama, Mystery, Thriller",127,"USA, France",English,7.0,49000000,3529.27224
tt0103776,Batman Returns,1992,1992-09-11,"Action, Crime, Fantasy",126,"USA, UK",English,7.0,80000000,2669.03053
tt0103855,The Bodyguard,1992,1992-11-25,"Action, Drama, Music",129,USA,English,6.3,25000000,4110.0674
tt0103859,Boomerang,1992,1992-06-28,"Comedy, Drama, Romance",117,USA,"English, French",5.5,42000000,1310.52444
tt0103873,Braindead,1992,1995-08-17,"Action, Comedy, Fantasy",104,New Zealand,"English, Spanish",7.5,3000000,2.42623
tt0103874,Dracula,1992,1993-01-21,Horror,128,USA,"English, Romanian, Greek, Bulgarian, Latin",7.4,40000000,2158.62692
tt0103893,Buffy the Vampire Slayer,1992,1994-02-25,"Action, Comedy, Fantasy",86,USA,English,5.7,7000000,166.24456
tt0103919,Candyman,1992,1993-03-25,"Horror, Thriller",99,"USA, UK",English,6.6,6000000,257.94159
tt0103924,Captain Ron,1992,1993-05-20,"Adventure, Comedy",90,USA,English,5.8,24000000,225.18097
tt0103939,Chaplin,1992,1992-12-17,"Biography, Comedy, Drama",143,"UK, France, Italy, Japan, USA",English,7.6,31000000,94.93259
tt0103956,Child's Play 3,1991,1991-08-30,"Horror, Thriller",90,"UK, USA",English,5.1,13000000,205.60255
tt0103962,Christopher Columbus: The Discovery,1992,1992-08-21,"Adventure, Biography, Drama",120,"UK, USA, Spain",English,4.5,40000000,82.51071
tt0103976,City of Joy,1992,1992-10-01,Drama,132,"France, UK",English,6.5,27000000,146.83921
tt0103978,Class Act,1992,1992-06-05,Comedy,98,USA,English,6.1,7500000,132.72113
tt0103994,Como agua para chocolate,1992,1992-04-16,"Drama, Romance",105,Mexico,"Spanish, English",7.1,2000000,217.44201
tt0104006,Consenting Adults,1992,1995-11-08,"Crime, Drama, Mystery",99,USA,English,5.8,18000000,215.91728
tt0104009,Cool World,1992,1993-04-15,"Animation, Comedy, Fantasy",102,USA,English,4.9,30000000,141.10589
tt0104027,CrissCross,1992,1992-05-08,"Crime, Drama",100,USA,English,5.9,14000000,30.52738
tt0104029,Cronos,1993,1993-12-03,Horror,94,Mexico,"Spanish, English",6.7,2000000,6.21392
tt0104070,Death Becomes Her,1992,1992-12-18,"Comedy, Fantasy, Horror",104,USA,English,6.6,55000000,1490.2265
tt0104073,Deep Cover,1992,1993-05-14,"Action, Crime, Thriller",107,USA,English,6.9,8000000,166.39799
tt0104107,Diggstown,1992,1993-06-25,"Drama, Sport",98,USA,English,7.0,17000000,48.36637
tt0104114,The Distinguished Gentleman,1992,1992-12-04,"Comedy, Crime",112,USA,English,5.9,50000000,466.66502
tt0104187,Encino Man,1992,1992-05-22,Comedy,88,USA,English,5.8,7000000,406.93477
tt0104215,Excessive Force,1993,1993-05-14,Action,87,USA,English,5.4,3000000,11.52117
